id,question,intent,answer_id,answer,source,split
1,Kada je službeno osnovan Odjel za matematiku koji je prethodio današnjem Fakultetu?,povijest,A001,Odjel za matematiku osnovan je 1. listopada 1999. godine.,web,train
2,Kako je započela jezgra sveučilišnog Odjela za matematiku prije njegovog osnutka?,povijest,A002,"Jezgra je počela nastajati 1993. godine osnivanjem Udruge matematičara Osijek, Zavoda za primijenjenu matematiku i pokretanjem redovitog Matematičkog kolokvija.",web,train
3,Koji znanstveni časopis pokreće Odjel i kada?,povijest,A003,Godine 1996. pokrenut je znanstveni časopis Mathematical Communications.,web,train
4,Koje studijske programe je Odjel preuzeo pri svom osnutku?,povijest,A004,"Odjel je preuzeo dva četiri-godišnja sveučilišna nastavna studija, Matematika-informatika i Matematika-fizika s tadašnjeg Pedagoškog fakulteta u Osijeku.",web,train
5,Kada je Odjel dobio dopusnicu za bolonjske studijske programe?,povijest,A005,Godine 2004. Odjel je dobio dopusnicu za novoustrojene studije usklađene s Bolonjskim procesom.,web,train
6,Od kada Fakultet primijenjene matematike i informatike započinje s radom kao visoka učilišna ustanova?,povijest,A006,Fakultet je započeo s radom i poslovanjem 1. srpnja 2023.,web,train
7,Gdje je danas smješten Fakultet primijenjene matematike i informatike?,povijest,A007,Fakultet je smješten u prostoru bivše vojarne “Gaj” na adresi Trg Ljudevita Gaja 6 u Osijeku.,web,test
8,Što je studentska referada i čemu služi?,referada,A008,Studentska referada je “mjesto prvog susreta” studenata sa sustavom visokog obrazovanja; tijekom studija je ključna administrativna stanica za informacije i postupke vezane uz studiranje.,web,train
9,Koje poslove obavlja studentska referada?,referada,A009,"Referada pruža informacije i provodi upise, vodi evidenciju tijeka studiranja (položeni kolegiji, završetak studija), te izdaje potvrde o statusu studenta i prijepise ocjena (i sl.).",web,train
10,Kako mogu kontaktirati studentsku referadu e-mailom?,referada,A010,Službeni e-mail studentske referade je referada@mathos.hr,web,train
11,Koje je radno vrijeme studentske referade za studente?,referada,A011,Radno vrijeme za studente je ponedjeljak–petak 7:30–14:30.,web,train
12,Gdje se nalazi studentska referada?,referada,A012,"Studentska referada je na adresi Trg Ljudevita Gaja 6, 31000 Osijek. ",web,train
13,Tko je voditelj Ureda za studente?,referada,A013,Voditeljica Ureda za studente je Tomislava Sudar.,web,train
14,Tko je voditelj Odsjeka za prijediplomske i diplomske studije u referadi?,referada,A014,Voditeljica Odsjeka za prijediplomske i diplomske studije je Antonija Ljilja Bassi.,web,train
15,Vodi li referada evidenciju o položeni kolegijima i tijeku studija?,referada,A015,"Da, među ulogama referade je vođenje cjelokupne evidencije za svakog studenta o tijeku studiranja i položenim kolegijima.",web,train
16,Izdaje li referada potvrde o statusu studenta (npr. “potvrda o studiranju”)?,referada,A016,"Da, referada izdaje potvrde o statusu studenta. ",web,train
17,Gdje mogu zatražiti prijepis ocjena?,referada,A017,Prijepise ocjena izdaje studentska referada.,web,train
18,Kada se obavljaju upisi u više godine prijediplomskih i diplomskih studija?,upisi,A018,Upisi u više godine održavaju se od 15. rujna 2025. do 7. listopada 2025.,web,train
19,Gdje mogu pronaći obrasce za zamolbu za promjenu statusa studenta ili završetak studija?,upisi,A019,“Zamolba za promjenu statusa studenta ili završetak studija” je dostupna putem poveznice navedene u obavijesti o upisima i početku nastave.,web,train
20,Gdje mogu pronaći zamolbu za prijelaz s drugih visokih učilišta?,upisi,A020,"Prema obavijesti za 2025./2026., “Zamolba za prijelaz s drugih visokih učilišta” dostupna je putem poveznice navedene u obavijesti o upisima i početku nastave.",web,train
21,Postoji li službeni Teams kanal za komunikaciju sa studentskom referadom?,referada,A021,"Da, u obavijesti za brucoše navodi se Teams tim “mathos – Studentska referada” s kodom vcrd3qe.",web,train
22,Što je “mathos – Studentski forum” na Teamsu i je li obvezno pridružiti se?,referada,A022,"Obavijest za brucoše navodi da je to glavni komunikacijski kanal za važne obavijesti koje nisu vezane uz pojedini kolegij, te da su se studenti obvezni pridružiti (kod i0kwjgj).",web,train
23,Što je “Sustav podrške kroz studij” (mentorski sustav)?,nastava,A023,"Opisan je kao sustav potpore studentima u postizanju akademskih ciljeva i razvoju vještina/kompetencija, uz cilj unapređenja komunikacije i povjerenja između studenata i zaposlenika te unaprjeđenja kvalitete studija.",web,train
24,Kome mogu uputiti pitanja ili pritužbe u okviru mentorskog sustava?,nastava,A024,"Prema opisu, pitanja ili pritužbe studenti mogu uputiti mentorima godišta.",web,train
25,Na koji e-mail mogu slati dodatna pitanja o studijskim programima i upisima?,upisi,A025,Na stranici “Upisi” navodi se da se dodatna pitanja vezana uz studijske programe mogu uputiti na upisi@mathos.hr,web,train
26,Kako se prijavljuju ispiti državne mature i upis na prijediplomske studije?,upisi,A026,Prijava državne mature i prijava studijskih programa provodi se putem NISpVU sustava (preko portala “Postani student”).,web,train
27,Koji su osnovni uvjeti za upis na prijediplomske studije Matematika i Matematika i računarstvo?,upisi,A027,"Potrebna je završena četverogodišnja srednja škola i položena državna matura iz matematike (A), hrvatskog jezika (A ili B) i stranog jezika (A ili B).",pravilnik,train
28,Kolika je upisna kvota za prijediplomski studij Matematika?,upisi,A028,"Za 2025./2026. navodi se 39 mjesta za redovite studente (RH/EU) i 1 mjesto za redovite studente (stranci izvan EU), ukupno 40.",pravilnik,train
29,Kolika je upisna kvota za prijediplomski studij Matematika i računarstvo?,upisi,A029,"Za 2025./2026. navodi se 54 mjesta za redovite studente (RH/EU) i 1 mjesto za redovite studente (stranci izvan EU), ukupno 55.",pravilnik,train
30,Plaćaju li studenti koji nisu državljani RH i EU školarinu na prijediplomskim studijima?,upisi,A030,"Da, stranice upisa navode godišnju školarinu 1.120,00 eura za studente koji nisu državljani RH i država članica EU.",pravilnik,train
31,Plaćaju li redoviti studenti (RH/EU) troškove studija pri prvom upisu 1. godine?,upisi,A031,Stranice upisa navode da redoviti studenti koji prvi put upisuju 1. godinu na toj razini (i prethodno nisu studirali redovno na istoj razini) ne plaćaju troškove studija.,pravilnik,train
32,Koliko se maksimalno može dobiti bodova na temelju uspjeha u srednjoj školi?,upisi,A032,Stranice upisa navode da se na temelju uspjeha u srednjoj školi može ostvariti maksimalno 20% upisnih bodova.,pravilnik,train
33,Koliki je udio bodova iz matematike na državnoj maturi za Matematiku i Matematiku i računarstvo?,upisi,A033,Na temelju uspjeha iz matematike može se ostvariti maksimalno 50% upisnih bodova.,pravilnik,train
34,Koliki je udio bodova iz informatike na državnoj maturi?,upisi,A034,Stranice upisa navode da informatika može nositi do 20% upisnih bodova.,pravilnik,train
35,Postoji li prag iz matematike na državnoj maturi za studij Matematika?,upisi,A035,Na stranici za Matematiku navodi se prag 40% iz matematike (uz napomenu da prag ne vrijedi za kandidate koji su završili srednju školu prije 2010. ili izvan RH).,pravilnik,train
